Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,Asian,Bishop odowd high school,33
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Adm,Hispanic/ Latino,Bishop odowd high school,11
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,Hispanic/ Latino,Bishop odowd high school,17
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Adm,African American,Bishop odowd high school,12
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,African American,Bishop odowd high school,22
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Enr,All,Bishop odowd high school,14
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Adm,All,Bishop odowd high school,97
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,All,Bishop odowd high school,138
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Adm,White,Buckley school,11
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,App,White,Buckley school,18
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Adm,Hispanic/ Latino,Buckley school,4
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,App,Hispanic/ Latino,Buckley school,6
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Adm,All,Buckley school,16
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,App,All,Buckley school,25
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,Adm,Inter- national,California crosspoint academy,16
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,App,Inter- national,California crosspoint academy,17
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,Enr,Asian,California crosspoint academy,3
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,Adm,Asian,California crosspoint academy,5
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,App,Asian,California crosspoint academy,6
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,Enr,All,California crosspoint academy,4
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,Adm,All,California crosspoint academy,23
CALIFORNIA CROSSPOINT ACADEMY52191,CALIFORNIA CROSSPOINT ACADEMY,Hayward,Alameda,App,All,California crosspoint academy,26
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Adm,White,Calvary chapel high school,3
