,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
275,Jordan High,1,0,12.0,8.0,53299,27280,0.05212733601432868,0.29655976479334933,0.17638809097360683,0.03360819167990267
276,Cabrillo High,1,0,16.0,13.0,60486,9571,0.07506500041935754,0.3042858341021555,0.2198272246917722,0.031409880063742346
277,Polytechnic High,1,0,23.0,22.0,41175,17167,0.12441170452220177,0.2434739396065363,0.15639159285568124,0.02747814902511035
278,Wilson High,1,0,19.0,18.0,52122,15027,0.13665120202446226,0.2050151451248035,0.2731106936083739,0.09175261684751351
279,Los Alamitos High,1,0,22.0,20.0,109847,8029,0.016937542810884863,0.16893953546298027,0.4079955165327854,0.18375988542250452
280,Los Altos High,1,0,86.0,81.0,250000,7170,0.0030717676626640603,0.04300474727729684,0.35744205529181794,0.5317648701480033
281,Abraham Lincoln Senior High,1,0,10.0,7.0,51076,12005,0.07749800449894782,0.2583266816631594,0.21507873158696755,0.07223713808867281
282,Collegiate Charter High School of Los Angeles,1,1,25.0,23.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
283,Contreras Learning Center-Academic Leadership Community,1,0,15.0,15.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
284,Alain Leroy Locke College Preparatory Academy,1,1,33.0,30.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
285,Alexander Hamilton Senior High,1,0,42.0,38.0,80773,26196,0.018279811363125984,0.11621378845721986,0.42279362227711653,0.2442622950819672
286,Alliance Cindy and Bill Simon Technology Academy High,1,1,22.0,20.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
287,Alliance Dr. Olga Mohan High,1,1,27.0,25.0,48743,11180,0.04479303352021949,0.16962901109388048,0.30681140403196944,0.16068233329357032
288,Alliance Cindy and Bill Simon Technology Academy High,1,1,26.0,24.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
