,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
780,San Pedro Senior High,1,0,50.0,25.0,56881,22843,0.01614568666103445,0.3001736600018774,0.2344644701023186,0.08281704684126537
781,San Rafael High,1,0,56.0,15.0,99136,15784,0.04227608301991921,0.12839531968240703,0.34284022844407297,0.2079676835213818
782,Terra Linda High,1,0,89.0,39.0,106919,12582,0.010483096007687603,0.10828164584607321,0.41840656940683146,0.23206953787018433
783,California High,1,0,277.0,101.0,159414,13044,0.006082677928015187,0.12215721979001201,0.4354732478400682,0.270969741583046
784,Dougherty Valley High,1,0,516.0,171.0,186021,15095,0.007235640698756159,0.06646452813286015,0.4640113013816628,0.36229886641629055
785,Venture (Alternative),1,0,5.0,,186021,15095,0.007235640698756159,0.06646452813286015,0.4640113013816628,0.36229886641629055
786,Sanger High,1,0,48.0,24.0,60689,10734,0.035591632844208555,0.316310601668079,0.20012488292226038,0.038936711119040186
787,Century High,1,0,23.0,6.0,106058,15042,0.022416174808489262,0.19951651387667965,0.3413600401858596,0.1595190254929047
788,Foothill High,1,0,68.0,22.0,106058,15042,0.022416174808489262,0.19951651387667965,0.3413600401858596,0.1595190254929047
789,Hector G. Godinez,1,0,48.0,23.0,76136,20324,0.0699523893493211,0.2785399400458473,0.19222359372244754,0.050802327631810966
790,Ednovate - Legacy College Prep.,1,1,10.0,5.0,106058,15042,0.022416174808489262,0.19951651387667965,0.3413600401858596,0.1595190254929047
791,Saddleback High,1,0,18.0,8.0,86001,14597,0.06984651013821479,0.28387001404321366,0.1824632289536574,0.03404863386631846
792,Santa Ana High,1,0,43.0,18.0,53710,13320,0.0779772553028367,0.2679210324559162,0.12349859442882699,0.029293381037567085
793,Segerstrom High,1,0,38.0,14.0,76136,20324,0.0699523893493211,0.2785399400458473,0.19222359372244754,0.050802327631810966
794,Valley High,1,0,30.0,12.0,76136,20324,0.0699523893493211,0.2785399400458473,0.19222359372244754,0.050802327631810966
795,San Marcos Senior High,1,0,93.0,54.0,93264,6385,0.012613521695257316,0.17911200807265387,0.35544904137235117,0.19408005381769255
796,Santa Barbara Senior High,1,0,63.0,33.0,84853,8194,0.02040402675494899,0.15769204783460578,0.31930274981420176,0.19843253834200392
797,Adrian Wilcox High,1,0,124.0,44.0,150094,21613,0.008669198041996432,0.12001921405370786,0.3642206871311588,0.3587309575003431
798,Mission Early College High,1,0,14.0,6.0,158212,8136,0.012041884816753926,0.1137870855148342,0.4038976148923793,0.3205351948807446
799,Santa Clara High,1,0,124.0,51.0,150094,21613,0.008669198041996432,0.12001921405370786,0.3642206871311588,0.3587309575003431
800,Academy of the Canyons,1,0,40.0,25.0,95640,11312,0.004876621476640983,0.1528333170779284,0.40168731103091776,0.16112357358821808
801,Golden Valley High,1,0,25.0,10.0,74986,10804,0.028381104282966647,0.24867476661819204,0.26818970774499223,0.09959187502931932
802,Harbor High,1,0,36.0,15.0,88204,15250,0.013390073003411718,0.17146630470670238,0.3600645658314685,0.19443119703584139
803,Santa Cruz High,1,0,4.0,3.0,87159,19030,0.0063657220409086505,0.12825152680389051,0.354864768798268,0.26164086987430124
804,Santa Cruz High,1,0,42.0,20.0,87159,19030,0.0063657220409086505,0.12825152680389051,0.354864768798268,0.26164086987430124
805,Santa Fe High,1,0,29.0,10.0,71318,4893,0.04632152588555858,0.3066713544871231,0.24637426386569394,0.059154434385163046
806,Ernest Righetti High,1,0,35.0,10.0,93200,15584,0.011108866895576651,0.23395946946744767,0.31071164074597724,0.0956372450010099
807,Pioneer Valley High,1,0,36.0,21.0,68954,11560,0.04481063891298063,0.2354107297732623,0.1953496055837773,0.048692850947837936
808,Santa Maria High,1,0,50.0,21.0,68954,11560,0.04481063891298063,0.2354107297732623,0.1953496055837773,0.048692850947837936
809,Santa Monica High,1,0,205.0,93.0,96352,14074,0.01177379761796527,0.08850804618601692,0.46104191290117286,0.28479861805618695
810,Santa Paula High,1,0,43.0,14.0,63573,9953,0.0322332339074377,0.26416819012797077,0.17362647936110845,0.05792360242470894
811,Elsie Allen High,1,0,12.0,6.0,68720,12851,0.03912351750072317,0.28991900491755856,0.18451692218686722,0.05434625397743709
812,Maria Carrillo High,1,0,65.0,27.0,77849,12031,0.013282086211929552,0.155930719081444,0.37452563977814535,0.20419383088449936
813,Montgomery High,1,0,34.0,12.0,94411,8955,0.02599273817071062,0.16684917295833093,0.3789406950608034,0.1832747392081148
814,Piner High,1,0,35.0,18.0,79990,15871,0.0261998978810314,0.23707556803676283,0.27473193770742915,0.08061016083737554
